Filename,crack,dent,glass shatter,lamp broken,scratch,tire flat
/kaggle/input/vehicle-damage-identification/test/glass shatter/2029.jpg,1.1722727e-10,5.260811e-06,0.99999475,3.4818908e-09,1.2787527e-10,4.56119e-13
/kaggle/input/vehicle-damage-identification/test/glass shatter/1501.jpg,8.3024884e-07,7.750152e-05,0.99981195,5.574989e-07,0.00010922318,4.8245934e-13
/kaggle/input/vehicle-damage-identification/test/glass shatter/5886.jpg,7.877976e-09,4.5579887e-05,0.99995244,1.9905e-06,4.0767027e-08,9.825823e-10
/kaggle/input/vehicle-damage-identification/test/glass shatter/1383.jpg,8.638295e-07,4.0878167e-06,0.999995,5.4980176e-09,5.900068e-08,1.822771e-11
/kaggle/input/vehicle-damage-identification/test/glass shatter/6059.jpg,7.281968e-15,1.2220987e-14,1.0,2.6917743e-14,2.8427938e-17,1.5452399e-18
/kaggle/input/vehicle-damage-identification/test/glass shatter/5482.jpg,9.1918055e-09,0.0029045301,0.99709547,1.843014e-08,2.849019e-10,6.388118e-13
/kaggle/input/vehicle-damage-identification/test/glass shatter/6709.jpg,5.8190475e-12,1.5745104e-09,1.0,1.8853876e-13,4.4458818e-14,3.706849e-12
/kaggle/input/vehicle-damage-identification/test/glass shatter/5998.jpg,3.3874542e-07,0.004696274,0.9952989,2.6889868e-09,4.545917e-06,5.261809e-09
/kaggle/input/vehicle-damage-identification/test/glass shatter/1539.jpg,6.2489154e-17,7.1707215e-20,1.0,3.0522703e-17,1.03455925e-19,5.3859976e-17
/kaggle/input/vehicle-damage-identification/test/glass shatter/3539.jpg,1.765007e-11,1.4349162e-07,0.9999993,1.9061685e-11,5.8446756e-07,6.597145e-13
/kaggle/input/vehicle-damage-identification/test/glass shatter/6509.jpg,3.0674862e-12,3.021265e-07,0.99999964,6.035483e-09,1.5539426e-08,5.4623285e-12
/kaggle/input/vehicle-damage-identification/test/glass shatter/760.jpg,7.200501e-17,2.9922567e-14,1.0,2.4794558e-15,4.5237495e-17,3.9204655e-16
/kaggle/input/vehicle-damage-identification/test/glass shatter/6352.jpg,3.3257225e-12,1.5643023e-07,0.99999666,2.511932e-10,3.2590192e-06,3.0115441e-09
/kaggle/input/vehicle-damage-identification/test/glass shatter/6281.jpg,3.5952008e-09,1.0323303e-06,0.99996424,3.3214743e-05,1.453939e-06,5.70536e-11
