Filename,crack,dent,glass shatter,lamp broken,scratch,tire flat
/kaggle/input/vehicle-damage-identification/test/glass shatter/2029.jpg,3.4548996e-12,1.169649e-08,1.0,1.882031e-10,1.9586665e-08,9.011922e-13
/kaggle/input/vehicle-damage-identification/test/glass shatter/1501.jpg,4.719589e-07,0.00051114464,0.97104466,1.03109834e-07,0.028443564,3.268775e-12
/kaggle/input/vehicle-damage-identification/test/glass shatter/5886.jpg,8.375203e-12,2.598181e-05,0.99997246,1.3871613e-07,4.0770526e-10,1.431011e-06
/kaggle/input/vehicle-damage-identification/test/glass shatter/1383.jpg,4.1998675e-11,1.309912e-12,1.0,1.1453959e-14,1.0054773e-08,1.1012685e-14
/kaggle/input/vehicle-damage-identification/test/glass shatter/6059.jpg,6.083508e-11,6.106925e-10,0.9999993,6.8910333e-07,6.757223e-10,1.155368e-17
/kaggle/input/vehicle-damage-identification/test/glass shatter/5482.jpg,1.6910535e-09,0.001093709,0.24465679,0.7542495,4.08188e-10,2.8608463e-14
/kaggle/input/vehicle-damage-identification/test/glass shatter/6709.jpg,4.98049e-18,1.842039e-17,1.0,2.558672e-13,1.2605028e-14,2.0783868e-19
/kaggle/input/vehicle-damage-identification/test/glass shatter/5998.jpg,3.4782152e-13,2.1083107e-11,0.99999726,2.7991314e-06,3.6814138e-10,2.240829e-11
/kaggle/input/vehicle-damage-identification/test/glass shatter/1539.jpg,1.3929126e-17,8.0391034e-20,1.0,2.7918854e-17,4.2769885e-11,5.995782e-14
/kaggle/input/vehicle-damage-identification/test/glass shatter/3539.jpg,2.4686464e-15,3.854594e-13,0.9999987,1.3138776e-14,1.3657283e-06,9.93034e-17
/kaggle/input/vehicle-damage-identification/test/glass shatter/6509.jpg,2.0084466e-15,4.694433e-12,0.99999297,7.062406e-06,2.1670373e-13,3.794828e-20
/kaggle/input/vehicle-damage-identification/test/glass shatter/760.jpg,9.738241e-18,4.3101704e-19,1.0,5.7941146e-13,4.0715012e-13,5.882171e-17
/kaggle/input/vehicle-damage-identification/test/glass shatter/6352.jpg,8.8471786e-13,6.857917e-11,1.0,1.7529724e-09,1.179247e-09,5.9502723e-09
/kaggle/input/vehicle-damage-identification/test/glass shatter/6281.jpg,2.2291836e-10,5.768208e-09,0.9999304,2.0656216e-06,6.761648e-05,4.072379e-15
/kaggle/input/vehicle-damage-identification/test/glass shatter/4369.jpg,2.4240057e-14,1.0665069e-20,0.99999917,8.784085e-07,5.7253663e-15,1.7300293e-12
/kaggle/input/vehicle-damage-identification/test/glass shatter/6732.jpg,1.477916e-09,6.60682e-08,0.9999993,1.5858569e-09,6.449132e-07,1.3867062e-13
/kaggle/input/vehicle-damage-identification/test/glass shatter/5797.jpg,1.8073827e-17,7.8022395e-19,1.0,1.8810734e-17,5.6936e-13,8.566767e-18
