Filename,crack,dent,glass shatter,lamp broken,scratch,tire flat
/kaggle/input/vehicle-damage-identification/test/glass shatter/2029.jpg,1.3061575e-11,0.0004252579,0.9995745,1.6189428e-07,1.6988395e-07,1.7715398e-12
/kaggle/input/vehicle-damage-identification/test/glass shatter/1501.jpg,8.034878e-11,6.112433e-09,1.0,1.6108123e-10,5.077611e-09,5.2644686e-15
/kaggle/input/vehicle-damage-identification/test/glass shatter/5886.jpg,8.604384e-11,1.2258993e-06,0.99999857,1.1157027e-07,1.4846974e-07,2.642867e-13
/kaggle/input/vehicle-damage-identification/test/glass shatter/1383.jpg,3.1128745e-17,6.7403223e-15,1.0,4.3821415e-18,8.309249e-14,7.679424e-21
/kaggle/input/vehicle-damage-identification/test/glass shatter/6059.jpg,1.7907014e-11,7.913633e-10,1.0,8.995818e-12,4.6190047e-09,4.49761e-18
/kaggle/input/vehicle-damage-identification/test/glass shatter/5482.jpg,5.7405064e-06,0.20631394,0.7654082,0.028212152,5.9927075e-05,1.2749186e-09
/kaggle/input/vehicle-damage-identification/test/glass shatter/6709.jpg,5.6715268e-15,1.7751672e-11,1.0,4.224242e-11,4.4321553e-11,2.365346e-14
/kaggle/input/vehicle-damage-identification/test/glass shatter/5998.jpg,9.5913505e-20,1.3040416e-08,1.0,3.3015645e-16,1.1587094e-18,4.1179519e-22
/kaggle/input/vehicle-damage-identification/test/glass shatter/1539.jpg,2.4340645e-19,2.9307255e-20,1.0,4.2872327e-25,7.08808e-18,6.937003e-24
/kaggle/input/vehicle-damage-identification/test/glass shatter/3539.jpg,8.539476e-14,3.01852e-08,1.0,2.309686e-13,1.3934319e-08,3.2719466e-18
/kaggle/input/vehicle-damage-identification/test/glass shatter/6509.jpg,1.18879e-14,2.3748079e-10,1.0,2.4524565e-09,1.0222452e-11,2.2367985e-16
/kaggle/input/vehicle-damage-identification/test/glass shatter/760.jpg,2.8351148e-25,3.9175594e-19,1.0,9.652734e-25,3.0617948e-19,2.0228974e-26
/kaggle/input/vehicle-damage-identification/test/glass shatter/6352.jpg,1.953168e-15,4.3444262e-10,1.0,4.541583e-14,2.0270988e-08,2.9613698e-14
/kaggle/input/vehicle-damage-identification/test/glass shatter/6281.jpg,3.501799e-11,2.1927245e-07,0.9744733,0.012659537,0.012865697,1.3350333e-06
/kaggle/input/vehicle-damage-identification/test/glass shatter/4369.jpg,4.264842e-15,2.04082e-16,1.0,3.3002285e-13,1.2844552e-17,3.1469573e-20
/kaggle/input/vehicle-damage-identification/test/glass shatter/6732.jpg,3.104161e-12,7.377316e-10,1.0,2.700101e-09,4.3528367e-10,1.917824e-16
/kaggle/input/vehicle-damage-identification/test/glass shatter/5797.jpg,1.6308742e-16,2.2944956e-15,1.0,1.134981e-18,6.1772565e-13,2.2488058e-20
/kaggle/input/vehicle-damage-identification/test/glass shatter/243.jpg,9.843114e-18,2.3762063e-15,1.0,1.28052865e-14,1.6789787e-13,1.6611366e-14
/kaggle/input/vehicle-damage-identification/test/glass shatter/6695.jpg,3.198089e-12,1.1014148e-08,1.0,1.119768e-14,3.0126828e-11,1.3953171e-16
/kaggle/input/vehicle-damage-identification/test/glass shatter/5244.jpg,9.157348e-17,1.5300658e-10,1.0,8.56638e-17,5.2182477e-13,3.7956617e-22
/kaggle/input/vehicle-damage-identification/test/glass shatter/6637.jpg,3.493192e-12,3.7292676e-11,1.0,1.07778494e-10,7.7111074e-11,7.187027e-17
/kaggle/input/vehicle-damage-identification/test/glass shatter/6904.jpg,5.7955047e-11,1.3942548e-07,0.99999857,1.3570974e-07,1.204419e-06,1.1494859e-12
/kaggle/input/vehicle-damage-identification/test/glass shatter/6098.jpg,1.0291263e-21,4.393131e-21,1.0,2.394982e-21,5.865849e-20,1.8740252e-25
/kaggle/input/vehicle-damage-identification/test/glass shatter/4004.jpg,0.00019019045,0.00128973,0.98560053,0.0017235319,0.011195905,7.613693e-08
/kaggle/input/vehicle-damage-identification/test/glass shatter/273.jpg,5.556351e-10,8.942307e-08,0.9999999,8.6126917e-10,2.5861618e-10,4.6057257e-14
/kaggle/input/vehicle-damage-identification/test/glass shatter/4882.jpg,3.008886e-15,3.0751922e-05,0.99996924,1.3933974e-15,3.2085083e-14,5.8085164e-18
/kaggle/input/vehicle-damage-identification/test/glass shatter/3949.jpg,2.692363e-19,6.1123443e-15,1.0,8.5267266e-19,9.511733e-21,2.635263e-22
/kaggle/input/vehicle-damage-identification/test/glass shatter/5049.jpg,2.7231779e-13,7.70768e-11,0.9999789,2.106968e-05,4.0337644e-09,1.2489406e-15
/kaggle/input/vehicle-damage-identification/test/glass shatter/3377.jpg,3.2391042e-15,2.8685275e-11,1.0,6.9779744e-11,7.3850206e-09,3.2424032e-16
/kaggle/input/vehicle-damage-identification/test/glass shatter/3543.jpg,4.349623e-22,6.099023e-22,1.0,1.1926734e-22,7.190729e-17,1.06062325e-23
/kaggle/input/vehicle-damage-identification/test/glass shatter/668.jpg,1.2769252e-12,2.66181e-14,1.0,6.0399706e-11,5.5600356e-08,5.0478523e-12
/kaggle/input/vehicle-damage-identification/test/glass shatter/5242.jpg,2.3272985e-08,4.7655053e-07,0.9999304,7.523843e-11,6.918326e-05,2.047156e-17
/kaggle/input/vehicle-damage-identification/test/glass shatter/3808.jpg,1.6958981e-17,1.2582429e-17,1.0,1.4471518e-17,6.450618e-11,2.4420921e-18
/kaggle/input/vehicle-damage-identification/test/glass shatter/6893.jpg,1.4884447e-15,5.1603416e-11,1.0,7.741881e-14,7.4045055e-11,1.25782344e-20
/kaggle/input/vehicle-damage-identification/test/glass shatter/328.jpg,2.991658e-12,7.417681e-09,0.99999917,8.745643e-07,1.7983526e-08,9.0535524e-10
/kaggle/input/vehicle-damage-identification/test/glass shatter/683.jpg,4.017079e-14,1.705451e-06,0.9999982,9.9666615e-08,1.4820677e-08,1.06099855e-14
/kaggle/input/vehicle-damage-identification/test/glass shatter/4844.jpg,1.5458074e-12,1.5245499e-08,0.999998,1.1670294e-06,8.5717994e-07,2.3865095e-17
/kaggle/input/vehicle-damage-identification/test/glass shatter/743.jpg,5.450789e-27,1.2317874e-21,1.0,1.5655363e-27,2.9820424e-17,5.8012175e-23
/kaggle/input/vehicle-damage-identification/test/glass shatter/2952.jpg,3.869528e-18,8.046426e-15,1.0,1.726062e-20,1.9839325e-16,5.813272e-22
/kaggle/input/vehicle-damage-identification/test/glass shatter/6256.jpg,1.2641081e-16,1.2505505e-10,1.0,2.7290107e-14,4.672189e-19,2.330906e-21
/kaggle/input/vehicle-damage-identification/test/glass shatter/2051.jpg,6.248966e-16,2.5767774e-10,1.0,5.323889e-13,7.751319e-15,1.1277121e-20
/kaggle/input/vehicle-damage-identification/test/glass shatter/4067.jpg,5.770195e-20,4.914934e-21,1.0,6.8561913e-22,4.5188685e-17,3.6161025e-22
/kaggle/input/vehicle-damage-identification/test/glass shatter/3077.jpg,9.8855516e-08,0.012155601,0.98784244,1.5762898e-06,3.8411022e-07,3.539873e-12
/kaggle/input/vehicle-damage-identification/test/glass shatter/353.jpg,4.872458e-16,6.4792255e-11,1.0,3.43902e-17,8.606197e-12,3.7867278e-20
/kaggle/input/vehicle-damage-identification/test/glass shatter/59.jpg,2.3776139e-11,7.2522646e-09,0.9999989,1.0232718e-06,1.3231212e-12,5.7839274e-17
/kaggle/input/vehicle-damage-identification/test/glass shatter/2346.jpg,1.2531042e-09,0.00012212877,0.99984026,7.520659e-06,3.0084588e-05,1.2778437e-09
/kaggle/input/vehicle-damage-identification/test/glass shatter/379.jpg,9.399176e-10,0.019222068,0.9806974,5.002677e-05,2.454464e-05,5.9525737e-06
/kaggle/input/vehicle-damage-identification/test/glass shatter/5758.jpg,8.3078255e-17,2.5083824e-18,1.0,6.399681e-20,3.8795018e-12,1.446125e-25
/kaggle/input/vehicle-damage-identification/test/glass shatter/1235.jpg,2.348736e-24,7.3367486e-25,1.0,1.437913e-24,2.9220963e-20,1.048165e-26
/kaggle/input/vehicle-damage-identification/test/glass shatter/4069.jpg,4.0766816e-17,8.190251e-06,0.9999918,1.3521452e-15,1.0401784e-18,3.697874e-22
/kaggle/input/vehicle-damage-identification/test/glass shatter/5396.jpg,6.679506e-15,9.68103e-15,1.0,1.6409346e-15,1.2747308e-11,4.3114202e-19
/kaggle/input/vehicle-damage-identification/test/glass shatter/3749.jpg,7.204333e-21,3.4934013e-18,1.0,9.86051e-19,1.447197e-12,2.3399284e-23
/kaggle/input/vehicle-damage-identification/test/glass shatter/5570.jpg,5.6036685e-18,3.301592e-11,1.0,6.0323103e-16,3.1096773e-20,3.221115e-22
/kaggle/input/vehicle-damage-identification/test/glass shatter/1735.jpg,1.4327923e-18,1.3917412e-10,1.0,4.127686e-15,4.4810076e-14,3.8334883e-18
/kaggle/input/vehicle-damage-identification/test/glass shatter/3715.jpg,6.0535486e-14,1.1757747e-06,0.9999926,6.1784644e-06,2.1859207e-13,2.7774526e-15
/kaggle/input/vehicle-damage-identification/test/glass shatter/5565.jpg,3.3032943e-09,0.0009580381,0.6482939,0.35074806,3.6304876e-08,6.612406e-12
/kaggle/input/vehicle-damage-identification/test/glass shatter/1544.jpg,2.6580525e-20,3.3278821e-21,1.0,2.0057009e-26,6.8045887e-18,1.4131005e-24
