filename,label,prediction
/kaggle/input/vehicle-damage-identification/test/glass shatter/2029.jpg,glass shatter,"{'Filename': '/kaggle/input/vehicle-damage-identification/test/glass shatter/2029.jpg', 'crack': 3.4548996e-12, 'dent': 1.169649e-08, 'glass shatter': 1.0, 'lamp broken': 1.882031e-10, 'scratch': 1.9586665e-08, 'tire flat': 9.011922e-13}"
/kaggle/input/vehicle-damage-identification/test/glass shatter/1501.jpg,glass shatter,"{'Filename': '/kaggle/input/vehicle-damage-identification/test/glass shatter/1501.jpg', 'crack': 4.719589e-07, 'dent': 0.00051114464, 'glass shatter': 0.97104466, 'lamp broken': 1.03109834e-07, 'scratch': 0.028443564, 'tire flat': 3.268775e-12}"
/kaggle/input/vehicle-damage-identification/test/glass shatter/5886.jpg,glass shatter,"{'Filename': '/kaggle/input/vehicle-damage-identification/test/glass shatter/5886.jpg', 'crack': 8.375203e-12, 'dent': 2.598181e-05, 'glass shatter': 0.99997246, 'lamp broken': 1.3871613e-07, 'scratch': 4.0770526e-10, 'tire flat': 1.431011e-06}"
/kaggle/input/vehicle-damage-identification/test/glass shatter/1383.jpg,glass shatter,"{'Filename': '/kaggle/input/vehicle-damage-identification/test/glass shatter/1383.jpg', 'crack': 4.1998675e-11, 'dent': 1.309912e-12, 'glass shatter': 1.0, 'lamp broken': 1.1453959e-14, 'scratch': 1.0054773e-08, 'tire flat': 1.1012685e-14}"
/kaggle/input/vehicle-damage-identification/test/glass shatter/6059.jpg,glass shatter,"{'Filename': '/kaggle/input/vehicle-damage-identification/test/glass shatter/6059.jpg', 'crack': 6.083508e-11, 'dent': 6.106925e-10, 'glass shatter': 0.9999993, 'lamp broken': 6.8910333e-07, 'scratch': 6.757223e-10, 'tire flat': 1.155368e-17}"
/kaggle/input/vehicle-damage-identification/test/glass shatter/5482.jpg,glass shatter,"{'Filename': '/kaggle/input/vehicle-damage-identification/test/glass shatter/5482.jpg', 'crack': 1.6910535e-09, 'dent': 0.001093709, 'glass shatter': 0.24465679, 'lamp broken': 0.7542495, 'scratch': 4.08188e-10, 'tire flat': 2.8608463e-14}"
/kaggle/input/vehicle-damage-identification/test/glass shatter/6709.jpg,glass shatter,"{'Filename': '/kaggle/input/vehicle-damage-identification/test/glass shatter/6709.jpg', 'crack': 4.98049e-18, 'dent': 1.842039e-17, 'glass shatter': 1.0, 'lamp broken': 2.558672e-13, 'scratch': 1.2605028e-14, 'tire flat': 2.0783868e-19}"
/kaggle/input/vehicle-damage-identification/test/glass shatter/5998.jpg,glass shatter,"{'Filename': '/kaggle/input/vehicle-damage-identification/test/glass shatter/5998.jpg', 'crack': 3.4782152e-13, 'dent': 2.1083107e-11, 'glass shatter': 0.99999726, 'lamp broken': 2.7991314e-06, 'scratch': 3.6814138e-10, 'tire flat': 2.240829e-11}"
/kaggle/input/vehicle-damage-identification/test/glass shatter/1539.jpg,glass shatter,"{'Filename': '/kaggle/input/vehicle-damage-identification/test/glass shatter/1539.jpg', 'crack': 1.3929126e-17, 'dent': 8.0391034e-20, 'glass shatter': 1.0, 'lamp broken': 2.7918854e-17, 'scratch': 4.2769885e-11, 'tire flat': 5.995782e-14}"
/kaggle/input/vehicle-damage-identification/test/glass shatter/3539.jpg,glass shatter,"{'Filename': '/kaggle/input/vehicle-damage-identification/test/glass shatter/3539.jpg', 'crack': 2.4686464e-15, 'dent': 3.854594e-13, 'glass shatter': 0.9999987, 'lamp broken': 1.3138776e-14, 'scratch': 1.3657283e-06, 'tire flat': 9.93034e-17}"
/kaggle/input/vehicle-damage-identification/test/glass shatter/6509.jpg,glass shatter,"{'Filename': '/kaggle/input/vehicle-damage-identification/test/glass shatter/6509.jpg', 'crack': 2.0084466e-15, 'dent': 4.694433e-12, 'glass shatter': 0.99999297, 'lamp broken': 7.062406e-06, 'scratch': 2.1670373e-13, 'tire flat': 3.794828e-20}"
/kaggle/input/vehicle-damage-identification/test/glass shatter/760.jpg,glass shatter,"{'Filename': '/kaggle/input/vehicle-damage-identification/test/glass shatter/760.jpg', 'crack': 9.738241e-18, 'dent': 4.3101704e-19, 'glass shatter': 1.0, 'lamp broken': 5.7941146e-13, 'scratch': 4.0715012e-13, 'tire flat': 5.882171e-17}"
/kaggle/input/vehicle-damage-identification/test/glass shatter/6352.jpg,glass shatter,"{'Filename': '/kaggle/input/vehicle-damage-identification/test/glass shatter/6352.jpg', 'crack': 8.8471786e-13, 'dent': 6.857917e-11, 'glass shatter': 1.0, 'lamp broken': 1.7529724e-09, 'scratch': 1.179247e-09, 'tire flat': 5.9502723e-09}"
/kaggle/input/vehicle-damage-identification/test/glass shatter/6281.jpg,glass shatter,"{'Filename': '/kaggle/input/vehicle-damage-identification/test/glass shatter/6281.jpg', 'crack': 2.2291836e-10, 'dent': 5.768208e-09, 'glass shatter': 0.9999304, 'lamp broken': 2.0656216e-06, 'scratch': 6.761648e-05, 'tire flat': 4.072379e-15}"
/kaggle/input/vehicle-damage-identification/test/glass shatter/4369.jpg,glass shatter,"{'Filename': '/kaggle/input/vehicle-damage-identification/test/glass shatter/4369.jpg', 'crack': 2.4240057e-14, 'dent': 1.0665069e-20, 'glass shatter': 0.99999917, 'lamp broken': 8.784085e-07, 'scratch': 5.7253663e-15, 'tire flat': 1.7300293e-12}"
/kaggle/input/vehicle-damage-identification/test/glass shatter/6732.jpg,glass shatter,"{'Filename': '/kaggle/input/vehicle-damage-identification/test/glass shatter/6732.jpg', 'crack': 1.477916e-09, 'dent': 6.60682e-08, 'glass shatter': 0.9999993, 'lamp broken': 1.5858569e-09, 'scratch': 6.449132e-07, 'tire flat': 1.3867062e-13}"
/kaggle/input/vehicle-damage-identification/test/glass shatter/5797.jpg,glass shatter,"{'Filename': '/kaggle/input/vehicle-damage-identification/test/glass shatter/5797.jpg', 'crack': 1.8073827e-17, 'dent': 7.8022395e-19, 'glass shatter': 1.0, 'lamp broken': 1.8810734e-17, 'scratch': 5.6936e-13, 'tire flat': 8.566767e-18}"
/kaggle/input/vehicle-damage-identification/test/glass shatter/243.jpg,glass shatter,"{'Filename': '/kaggle/input/vehicle-damage-identification/test/glass shatter/243.jpg', 'crack': 3.2102172e-25, 'dent': 3.497101e-22, 'glass shatter': 1.0, 'lamp broken': 2.352889e-23, 'scratch': 4.4761634e-18, 'tire flat': 1.5401369e-19}"
/kaggle/input/vehicle-damage-identification/test/glass shatter/6695.jpg,glass shatter,"{'Filename': '/kaggle/input/vehicle-damage-identification/test/glass shatter/6695.jpg', 'crack': 9.17494e-16, 'dent': 4.213733e-11, 'glass shatter': 1.0, 'lamp broken': 4.6032366e-12, 'scratch': 4.417232e-12, 'tire flat': 3.568e-11}"
/kaggle/input/vehicle-damage-identification/test/glass shatter/5244.jpg,glass shatter,"{'Filename': '/kaggle/input/vehicle-damage-identification/test/glass shatter/5244.jpg', 'crack': 2.7565464e-11, 'dent': 4.183304e-13, 'glass shatter': 0.9999938, 'lamp broken': 2.1820318e-10, 'scratch': 6.2158883e-06, 'tire flat': 2.7452512e-10}"
/kaggle/input/vehicle-damage-identification/test/glass shatter/6637.jpg,glass shatter,"{'Filename': '/kaggle/input/vehicle-damage-identification/test/glass shatter/6637.jpg', 'crack': 7.529266e-10, 'dent': 1.901514e-08, 'glass shatter': 1.0, 'lamp broken': 4.3101265e-09, 'scratch': 1.3043537e-10, 'tire flat': 6.882644e-11}"
/kaggle/input/vehicle-damage-identification/test/glass shatter/6904.jpg,glass shatter,"{'Filename': '/kaggle/input/vehicle-damage-identification/test/glass shatter/6904.jpg', 'crack': 9.951563e-12, 'dent': 4.876574e-07, 'glass shatter': 0.99999857, 'lamp broken': 9.08747e-07, 'scratch': 5.6674376e-09, 'tire flat': 2.3035906e-08}"
/kaggle/input/vehicle-damage-identification/test/glass shatter/6098.jpg,glass shatter,"{'Filename': '/kaggle/input/vehicle-damage-identification/test/glass shatter/6098.jpg', 'crack': 8.0285695e-11, 'dent': 4.947659e-13, 'glass shatter': 0.99989355, 'lamp broken': 1.7476272e-14, 'scratch': 0.000106406944, 'tire flat': 3.1646541e-13}"
/kaggle/input/vehicle-damage-identification/test/glass shatter/4004.jpg,glass shatter,"{'Filename': '/kaggle/input/vehicle-damage-identification/test/glass shatter/4004.jpg', 'crack': 6.091993e-08, 'dent': 1.0583132e-07, 'glass shatter': 0.99999917, 'lamp broken': 7.2496806e-07, 'scratch': 4.572721e-11, 'tire flat': 6.5629546e-10}"
/kaggle/input/vehicle-damage-identification/test/glass shatter/273.jpg,glass shatter,"{'Filename': '/kaggle/input/vehicle-damage-identification/test/glass shatter/273.jpg', 'crack': 1.5508767e-06, 'dent': 7.37658e-07, 'glass shatter': 0.99999404, 'lamp broken': 2.2972622e-06, 'scratch': 1.452771e-06, 'tire flat': 3.8999146e-10}"
/kaggle/input/vehicle-damage-identification/test/glass shatter/4882.jpg,glass shatter,"{'Filename': '/kaggle/input/vehicle-damage-identification/test/glass shatter/4882.jpg', 'crack': 1.4800773e-08, 'dent': 0.00021624687, 'glass shatter': 0.99978346, 'lamp broken': 6.0964204e-08, 'scratch': 1.01127945e-07, 'tire flat': 3.5769532e-13}"
/kaggle/input/vehicle-damage-identification/test/glass shatter/3949.jpg,glass shatter,"{'Filename': '/kaggle/input/vehicle-damage-identification/test/glass shatter/3949.jpg', 'crack': 1.1968765e-13, 'dent': 1.03371266e-16, 'glass shatter': 1.0, 'lamp broken': 9.261217e-12, 'scratch': 6.934948e-14, 'tire flat': 6.396705e-12}"
/kaggle/input/vehicle-damage-identification/test/glass shatter/5049.jpg,glass shatter,"{'Filename': '/kaggle/input/vehicle-damage-identification/test/glass shatter/5049.jpg', 'crack': 1.7941523e-17, 'dent': 1.0792386e-15, 'glass shatter': 1.0, 'lamp broken': 7.5797514e-11, 'scratch': 5.7613047e-14, 'tire flat': 3.648279e-20}"
/kaggle/input/vehicle-damage-identification/test/glass shatter/3377.jpg,glass shatter,"{'Filename': '/kaggle/input/vehicle-damage-identification/test/glass shatter/3377.jpg', 'crack': 5.5713714e-09, 'dent': 1.1171972e-07, 'glass shatter': 0.99725926, 'lamp broken': 7.802136e-08, 'scratch': 0.0027404053, 'tire flat': 6.248611e-08}"
/kaggle/input/vehicle-damage-identification/test/glass shatter/3543.jpg,glass shatter,"{'Filename': '/kaggle/input/vehicle-damage-identification/test/glass shatter/3543.jpg', 'crack': 4.445936e-20, 'dent': 1.6211973e-24, 'glass shatter': 1.0, 'lamp broken': 6.2719755e-20, 'scratch': 2.5322848e-13, 'tire flat': 2.9906289e-19}"
